experiment_id,seed,round,client_id,participation_flag,train_loss,val_loss,rmse,mae,num_samples,timestamp
20260117_150716_75af265d,42,0,1,0,0.0,0.24427816384716944,19.0046673307367,24.04981881568741,78,2026-01-17T15:07:16.022228
20260117_150716_75af265d,42,0,2,0,0.0,0.4416159233609671,24.136965085004825,12.567079722971455,189,2026-01-17T15:07:16.022228
20260117_150716_75af265d,42,0,3,1,0.3916507191801397,0.22353112219286775,20.691831626364717,24.84285025954893,179,2026-01-17T15:07:16.023221
20260117_150716_75af265d,42,0,4,0,0.0,0.43799989193434175,23.354246156619695,20.269213764848118,157,2026-01-17T15:07:16.023221
20260117_150716_75af265d,42,0,5,0,0.0,0.5292833640854143,26.639998673193674,13.435721079461565,90,2026-01-17T15:07:16.023221
20260117_150716_75af265d,42,0,6,1,0.11284009756161512,0.2919538716265868,19.016113139635543,13.164742653794896,136,2026-01-17T15:07:16.023221
20260117_150716_75af265d,42,0,7,1,0.4771638857340218,0.5443654319127009,19.720168211977168,19.8315799794232,117,2026-01-17T15:07:16.023221
20260117_150716_75af265d,42,0,8,1,0.2582527604242657,0.5615464153832446,21.882777788810984,13.973202497470787,146,2026-01-17T15:07:16.023221
20260117_150716_75af265d,42,0,9,0,0.0,0.26098237846229255,23.42052201244726,13.941124127844029,142,2026-01-17T15:07:16.023221
20260117_150716_75af265d,42,0,10,1,0.33383439608941623,0.5540202976211146,20.99100757710596,13.28981138735925,124,2026-01-17T15:07:16.023221
20260117_150716_75af265d,42,1,1,1,0.4444411638666663,0.21877859370671748,17.399730025836753,20.207218202444906,78,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,1,2,0,0.0,0.4183840638293882,20.7715096751175,18.93832642541692,189,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,1,3,1,0.2872199551138709,0.2631363539918159,23.298388443229314,24.13646292069715,179,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,1,4,0,0.0,0.4561275346154333,16.7182761447553,23.271826751936636,157,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,1,5,0,0.0,0.48789500981622436,26.528980989861687,15.10263209546568,90,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,1,6,0,0.0,0.28207505789134174,17.372366315170048,10.04867974152594,136,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,1,7,1,0.3888368245239643,0.4738563009986658,29.578321483051717,21.42943298578097,117,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,1,8,1,0.3030726698417301,0.19788487025896723,24.379502903496263,22.625040222587007,146,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,1,9,1,0.3030651527910537,0.23950999579412985,20.60870778886722,12.423235536297302,142,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,1,10,0,0.0,0.5790748864440762,28.83651120927412,23.777402415935533,124,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,2,1,1,0.4716394465058469,0.5454248450204329,27.47498294041769,14.612711881039921,78,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,2,2,0,0.0,0.1760663249223844,28.17014398806061,24.20424167946991,189,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,2,3,0,0.0,0.18854405343054545,22.289856949749208,11.038187777025755,179,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,2,4,0,0.0,0.4922709743657542,26.487516439604818,11.925871967496441,157,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,2,5,0,0.0,0.36387707014442905,23.247053902424156,13.975849434100887,90,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,2,6,1,0.44897321643410304,0.3404120730903991,18.176973081631232,18.089441331691873,136,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,2,7,1,0.3919724276359905,0.24051797852536316,19.675744369513424,24.92724034991342,117,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,2,8,1,0.3599512230557814,0.34714503776152683,22.76363761553386,11.815062938023985,146,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,2,9,0,0.0,0.25111380166420083,20.07128343221183,18.8246307768585,142,2026-01-17T15:07:16.024228
20260117_150716_75af265d,42,2,10,1,0.19204589303863082,0.24909782300320174,16.064896290135486,19.466544359051483,124,2026-01-17T15:07:16.025219
